d_type,species,municipality,date,rot,lat,long,mean_temp_3m,mean_temp_1y,mean_temp_5y,min_temp,max_temp,humidity,soil_humidity,climate_risk_factor
Næringsmangel,"contorta-/vrifuru, furu",Engerdal,19.02.1998,No,61.883333,12.033333,0.0226622662266229,0.0226622662266229,0.0226622662266229,-4.715511551155116,5.314906490649063,73.68481848184818,,
Storm,dun-/vanlig bjørk,Farsund,27.07.2018,No,58.082778,6.752778,7.191042345276875,7.191042345276875,7.191042345276875,,,,,
Storm,rogn,Luster,26.06.2020,No,61.493889,7.329444,5.4611003236246,5.4611003236246,5.4611003236246,,,,,
Storm,osp,Ås,23.05.2018,No,59.660278,10.783611,5.898660714285714,5.898660714285714,5.898660714285714,,,,,
"Oversvømmelse, oksygenmangel, drukning",dun-/vanlig bjørk,Åmot,22.06.2016,No,59.893056,9.926389,7.097944642367763,7.097944642367763,7.097944642367763,3.030824175824182,11.642884615384652,76.01754385964912,,
"Askeskuddbeger, Honningsopper",ask,Modum,19.08.2021,Yes,59.9575,9.982778,,,,,,,,
"Rotkjuke, Tyritoppsopp","furu, gran",Fuosko - Fauske,29.11.1983,Yes,67.258889,15.391667,,,,,,,,
Snø,dun-/vanlig bjørk,Rana,30.08.2016,No,66.366667,14.333333,3.70887671232877,3.70887671232877,3.70887671232877,0.0544600938967114,7.469621651477485,76.28493150684932,,
Vanlig granbarrust,gran,Nore og Uvdal,13.09.2014,No,60.307222,8.805556,0.3824739440482718,0.3824739440482718,0.3824739440482718,-4.535915721231764,6.232771474878444,76.81205479452055,,
"Skader på rot eller stubbe, rotavdøing",fjelledelgran,Færder,18.05.2005,Yes,59.22,10.41,,,,,,,,
Rotkjuke,"lerk, ukjent art",Inderøy,30.07.1992,Yes,63.899444,11.22,,,,,,,,
"Abiotiske skader, Tyritoppsopp",furu,Målselv,16.09.1977,Yes,68.975,19.064444,,,,,,,,
Heggspinnmøll,hegg,Bergen,02.06.2024,No,60.3925,5.323333,7.473902439024387,7.473902439024387,7.473902439024387,,,,,
Tyritoppsopp,furu,Asker,13.07.1998,Yes,59.7,10.5,5.455565179731485,5.455565179731485,5.455565179731485,1.755497835497836,9.79792387543253,76.51428571428572,,
Heggspinnmøll,hegg,Porsgrunn,25.05.2024,No,59.1419,9.6568,7.315648122773367,7.315648122773367,7.315648122773367,3.0255965909090894,12.331960227272727,77.09753424657534,,
"Skader på rot eller stubbe, rotavdøing",gran,Midt-Telemark,03.11.1998,Yes,59.45,9.1,,,,,,,,
Storm,dun-/vanlig bjørk,Sunndal,21.07.2020,No,62.612778,8.634167,5.216853932584263,5.216853932584263,5.216853932584263,1.0610410958904093,9.66550684931508,73.8727372462973,,
Rotkjuke,sitkagran,Inderøy,31.07.1985,Yes,63.899444,11.22,,,,,,,,
Ildkjuke,"asal, ukjent art",Lillestrøm,08.07.1987,Yes,59.954,11.04,,,,,,,,
Målere,dun-/vanlig bjørk,Lierne,18.09.2020,No,64.358889,13.642222,2.826166902404525,2.826166902404525,2.826166902404525,-0.6381355932203376,6.200141442715703,80.29943502824858,,
Snø,dun-/vanlig bjørk,Fuosko - Fauske,07.07.2021,No,67.258889,15.391667,5.405838926174496,5.405838926174496,5.405838926174496,,,,,
Snø,dun-/vanlig bjørk,Rana,10.06.2022,No,66.366667,14.333333,3.564097641250687,3.564097641250687,3.564097641250687,-0.6325084364454456,7.67507034327519,76.85635964912281,,
Hjortedyr,gran,Nesbyen,15.05.2013,No,60.558333,9.101111,3.014667769506481,3.014667769506481,3.014667769506481,-1.5194584139264942,8.598143133462292,76.57213384530993,,
Honningsopper,gran,Ringerike,05.12.1989,Yes,60.205281,10.1525,,,,,,,,
Snø,gran,Hægebostad,12.06.2013,No,58.456667,7.219722,-3.5795454545454537,-3.5795454545454537,-3.5795454545454537,,,,,
Honningsopper,gran,Holmestrand,20.09.2004,Yes,59.495281,10.248611,5.948948220064717,5.948948220064717,5.948948220064717,2.1913392141138743,10.376243980738348,77.68298555377207,,
"Honningsopper, Nitrogenmangel, Visning, avdøing, toppavdøing, skogdød",gran,Arendal,30.09.1996,Yes,58.466667,8.766667,7.674684931506857,7.674684931506857,7.674684931506857,5.617698630136987,10.18071232876713,85.48438356164384,,
"Skader på rot eller stubbe, rotavdøing",dun-/vanlig bjørk,Bergen,24.06.1985,Yes,60.3925,5.323333,,,,,,,,
"Skader i ved (misfarging, råte)","bjørk, ukjent art",Bærum,25.08.1989,Yes,59.8904,10.526,5.568712328767131,5.568712328767131,5.568712328767131,2.3976438356164387,9.412767123287674,69.16657534246575,,
Rotmorkel,"furu, gran",Elverum,15.09.1977,Yes,60.883333,11.566667,,,,,,,,
Målere,dun-/vanlig bjørk,Nore og Uvdal,15.07.2017,No,60.307222,8.805556,1.3244176486708672,1.3244176486708672,1.3244176486708672,-4.214293552812076,6.492839506172825,75.72657534246575,,
Snø,furu,Råde,17.08.2022,No,59.348889,10.855,7.762291038640703,7.762291038640703,7.762291038640703,3.4814144736842065,12.150849780701783,80.55013698630137,,
Snø,dun-/vanlig bjørk,Kongsvinger,04.06.2013,No,60.19117,11.99916,4.183707151925516,4.183707151925516,4.183707151925516,0.0506686478454664,9.025272547076309,78.4096,,
